Timestamp,HR [bpm]
1689940681341,66.000000
1689940682190,66.800003
1689940683106,66.200005
1689940684037,65.700005
1689940684901,66.800003
1689940685834,66.300003
1689940686741,65.800003
1689940687645,66.200005
1689940688550,66.400002
1689940689437,66.599998
1689940690393,65.700005
1689940691282,66.500000
1689940692228,65.599998
1689940693124,65.300003
1689940694026,65.800003
1689940694972,65.500000
1689940695872,65.400002
1689940696777,65.900002
1689940697676,65.700005
1689940698631,65.500000
1689940699513,65.599998
1689940700416,65.800003
1689940701359,65.500000
1689940702313,65.300003
1689940703175,66.000000
1689940704111,65.400002
1689940705053,65.000000
1689940705954,65.599998
1689940706896,65.300003
1689940707799,65.300003
1689940708714,65.300003
1689940709645,65.500000
1689940710558,65.300003
1689940711490,65.099998
1689940712388,66.000000
1689940713286,65.400002
1689940714248,65.200005
1689940715101,66.099998
1689940716033,65.800003
1689940716977,65.300003
1689940717846,66.200005
1689940718736,66.099998
1689940719645,66.200005
1689940720545,66.800003
1689940721447,67.000000
1689940722333,66.800003
1689940723232,66.500000
1689940724134,67.000000
1689940725042,66.599998
1689940725977,65.800003
1689940726842,66.300003
1689940727777,66.099998
1689940728694,65.700005
1689940729591,66.500000
1689940730474,66.099998
1689940731422,65.700005
1689940732320,66.099998
1689940733190,66.900002
1689940734035,67.900002
1689940734931,68.200005
1689940735755,69.200005
1689940736646,69.300003
1689940737540,68.400002
1689940738444,67.599998
1689940739354,67.400002
1689940740238,67.099998
1689940741142,66.700005
1689940742043,67.500000
1689940742895,67.500000
1689940743840,67.000000
1689940744710,67.400002
1689940745597,67.099998
1689940746496,66.700005
1689940747396,67.200005
1689940748250,67.900002
1689940749148,68.200005
1689940750009,68.000000
1689940750906,68.200005
1689940751811,67.500000
1689940752753,66.500000
1689940753651,66.700005
1689940754591,66.400002
1689940755446,66.400002
1689940756349,66.200005
1689940757202,67.599998
1689940758102,67.400002
1689940759002,67.300003
1689940759857,68.099998
1689940760712,68.300003
1689940761613,68.099998
1689940762474,68.099998
1689940763368,68.700005
1689940764232,68.400002
1689940765172,67.400002
1689940766026,67.599998
1689940766966,67.200005
1689940767867,66.599998
1689940768724,67.400002
1689940769621,67.800003
1689940770529,67.200005
1689940771377,67.300003
1689940772283,66.800003
1689940773229,66.000000
1689940774128,66.300003
1689940775074,66.000000
1689940775976,65.599998
1689940776873,66.599998
1689940777738,67.099998
1689940778639,67.099998
1689940779525,67.099998
1689940780422,67.400002
1689940781325,67.099998
1689940782230,66.500000
1689940783088,67.400002
1689940784022,67.300003
1689940784923,66.700005
1689940785829,67.000000
1689940786722,66.800003
1689940787624,66.500000
1689940788522,66.500000
1689940789432,66.700005
1689940790321,66.200005
1689940791222,66.300003
1689940792168,66.099998
1689940793075,65.500000
1689940794012,65.300003
1689940794919,65.599998
1689940795858,65.500000
1689940796757,65.400002
1689940797612,66.599998
1689940798520,66.700005
1689940799460,66.400002
1689940800312,66.800003
1689940801212,66.700005
1689940802157,66.099998
1689940803018,66.900002
1689940803913,66.700005
1689940804860,66.400002
1689940805720,66.900002
1689940806622,66.700005
1689940807557,66.200005
1689940808462,66.300003
1689940809357,66.500000
1689940810258,66.500000
1689940811170,66.300003
1689940812066,66.700005
1689940812956,66.599998
1689940813907,65.700005
1689940814802,65.900002
1689940815764,65.500000
1689940816646,65.099998
1689940817591,65.300003
1689940818492,65.500000
1689940819391,65.599998
1689940820292,66.599998
1689940821153,66.900002
1689940822052,67.099998
1689940822952,67.400002
1689940823760,68.800003
1689940824619,69.200005
1689940825512,68.900002
1689940826373,69.099998
1689940827275,68.099998
1689940828212,67.099998
1689940829113,66.400002
1689940830012,66.900002
1689940830912,66.900002
1689940831817,66.700005
1689940832666,67.300003
1689940833573,67.400002
1689940834473,67.099998
1689940835370,66.900002
1689940836268,67.300003
1689940837169,67.200005
1689940838022,67.500000
1689940838876,69.099998
1689940839734,69.400002
1689940840590,69.599998
1689940841399,70.599998
1689940842252,70.400002
1689940843116,70.099998
1689940843963,70.700005
1689940844782,71.099998
1689940845627,71.200005
1689940846482,71.300003
1689940847294,72.000000
1689940848155,71.599998
1689940849046,70.200005
1689940849906,69.800003
1689940850801,69.099998
1689940851702,68.099998
1689940852556,68.099998
1689940853457,67.800003
1689940854364,67.200005
1689940855306,66.800003
1689940856206,66.500000
1689940857147,66.000000
1689940858093,65.300003
1689940858992,65.500000
1689940859897,65.300003
1689940860841,65.099998
1689940861745,65.900002
1689940862639,65.700005
1689940863586,65.400002
1689940864442,66.200005
1689940865382,66.099998
1689940866282,66.400002
1689940867205,66.599998
1689940868042,66.900002
1689940868942,67.099998
1689940869837,66.700005
1689940870738,67.200005
1689940871642,67.099998
1689940872550,67.099998
1689940873392,67.800003
1689940874292,67.599998
1689940875191,67.099998
1689940876055,67.800003
1689940876951,67.900002
1689940877849,67.400002
1689940878708,68.200005
1689940879562,68.200005
1689940880502,67.700005
1689940881408,66.800003
1689940882312,66.900002
1689940883247,66.400002
1689940884152,65.700005
1689940885046,66.500000
1689940885946,66.500000
1689940886855,66.500000
1689940887793,67.000000
1689940888607,67.400002
1689940889519,67.300003
1689940890446,66.800003
1689940891304,67.200005
1689940892204,67.000000
1689940893147,66.500000
1689940894005,67.000000
1689940894953,66.500000
1689940895849,65.800003
1689940896792,65.800003
1689940897692,66.200005
1689940898556,66.400002
1689940899446,67.500000
1689940900308,67.700005
1689940901201,67.500000
1689940902101,67.300003
1689940903007,66.800003
1689940903907,67.000000
1689940904807,67.000000
1689940905705,66.500000
1689940906658,66.000000
1689940907548,65.599998
1689940908462,66.400002
1689940909305,67.300003
1689940910159,68.400002
1689940911027,68.700005
1689940911882,68.700005
1689940912784,68.400002
1689940913629,68.900002
1689940914480,70.099998
1689940915291,70.500000
1689940916156,70.599998
1689940917001,71.300003
1689940917854,70.500000
1689940918755,69.099998
1689940919668,68.500000
1689940920602,67.500000
1689940921512,66.500000
1689940922399,66.300003
1689940923361,66.099998
1689940924244,66.400002
1689940925108,67.300003
1689940925999,67.000000
1689940926903,66.599998
1689940927802,67.099998
1689940928701,67.099998
1689940929556,68.000000
1689940930408,69.000000
1689940931285,68.800003
1689940932213,67.700005
1689940933064,67.500000
1689940934014,66.300003
1689940934911,66.700005
1689940935854,66.099998
1689940936774,65.700005
1689940937666,66.099998
1689940938606,65.500000
1689940939544,65.300003
1689940940448,65.599998
1689940941394,65.099998
1689940942305,64.800003
1689940943205,65.300003
1689940944145,65.099998
1689940945084,65.000000
1689940945992,64.900002
1689940946926,64.500000
1689940947875,64.400002
1689940948818,64.500000
1689940949759,64.400002
1689940950708,64.000000
1689940951654,63.900002
1689940952561,64.099998
1689940953508,63.900002
1689940954442,63.799999
1689940955384,64.400002
1689940956329,64.000000
1689940957280,63.900002
1689940958136,65.000000
1689940959075,64.700005
1689940960019,64.400002
1689940960922,65.400002
1689940961831,65.300003
1689940962767,65.099998
1689940963668,66.000000
1689940964537,66.099998
1689940965514,65.700005
1689940966319,67.000000
1689940967223,67.500000
1689940968076,67.700005
1689940968946,68.000000
1689940969851,67.500000
1689940970819,66.300003
1689940971674,66.500000
1689940972630,66.300003
1689940973520,65.599998
1689940974416,66.400002
1689940975316,66.800003
1689940976233,66.300003
1689940977116,67.200005
1689940977978,67.099998
1689940978872,66.900002
1689940979773,67.099998
1689940980671,67.599998
1689940981575,67.200005
1689940982474,66.800003
1689940983342,67.400002
1689940984276,66.900002
1689940985185,66.099998
1689940986075,66.900002
1689940986973,66.200005
1689940987920,65.599998
1689940988823,65.800003
1689940989765,65.500000
1689940990668,65.599998
1689940991519,67.000000
1689940992429,67.200005
1689940993323,67.000000
1689940994173,67.400002
1689940995103,67.500000
1689940996018,66.800003
1689940996919,66.900002
1689940997866,66.099998
1689940998811,65.200005
1689940999720,65.599998
1689941000655,65.099998
1689941001566,64.800003
1689941002499,64.599998
1689941003443,64.400002
1689941004343,65.200005
1689941005288,64.900002
1689941006200,64.700005
1689941007135,65.200005
1689941008044,64.700005
1689941008946,65.800003
1689941009838,65.599998
1689941010795,65.300003
1689941011679,66.200005
1689941012579,65.700005
1689941013483,66.599998
1689941014391,66.400002
1689941015281,66.000000
1689941016179,66.500000
1689941017124,66.000000
1689941018025,66.300003
1689941018878,66.500000
1689941019778,66.700005
1689941020633,68.300003
1689941021490,68.599998
1689941022405,68.700005
1689941023194,69.099998
1689941024098,68.800003
1689941025002,68.300003
1689941025854,68.500000
1689941026764,68.000000
1689941027664,67.900002
1689941028557,67.300003
1689941029450,67.200005
1689941030311,67.700005
1689941031205,67.900002
1689941032109,67.800003
1689941032963,68.099998
1689941033860,67.900002
1689941034715,68.400002
1689941035620,68.300003
1689941036472,68.099998
1689941037372,68.700005
1689941038242,68.400002
1689941039137,68.300003
1689941039937,69.200005
1689941040840,69.300003
1689941041695,69.099998
1689941042564,69.599998
1689941043450,68.099998
1689941044394,67.099998
1689941045341,66.400002
1689941046241,66.200005
1689941047194,65.599998
1689941048090,65.300003
1689941048983,65.300003
1689941049978,65.500000
1689941050830,66.300003
1689941051644,67.800003
